review_text,rating,category,subject_id,subject_name,sentiment_class,reputation_index
"Отличный товар, эффект буду заказывать ещё.",3,Косметика,SUBJ_0008,ОптимаШоп,2,0.3371
"Лучшее что покупал, быстрая доставка, однако ничего выдающегося.",5,Косметика,SUBJ_0016,МегаМаркетСток,2,0.6585
Чистота потерянная посылка. Ужасное качество.,1,Отель,SUBJ_0039,СуперСервисХаб,0,-0.4534
Крайне быстро износилось. Деньги на ветер!,2,Одежда,SUBJ_0045,МаксимумМаркет,0,-0.2869
Не идеально но сойдёт. Средне.,3,Электроника,SUBJ_0018,ГлобалПро,1,-0.0287
Можно взять если нужно. На троечку.,3,Отель,SUBJ_0013,ЭкспрессТрейд,1,0.2164
"Не рекомендую, не работает. С другой стороны, есть и плюсы и минусы.",2,Электроника,SUBJ_0042,ПремиумСток,0,-0.5836
Упаковка буду заказывать ещё. Великолепно.,3,Косметика,SUBJ_0008,ОптимаШоп,1,-0.1633
"Хороший выбор, камера быстрая доставка.",4,Электроника,SUBJ_0018,ГлобалПро,2,0.6012
"Полное разочарование, правда приятно удивлён.",3,Книги,SUBJ_0035,МаксимумШоп,1,0.2295
Супер! весьма буду заказывать ещё.,3,Косметика,SUBJ_0038,ТехноМирПро,2,0.7581
"Не рекомендую, обман покупателей, но средний уровень.",1,Электроника,SUBJ_0042,ПремиумСток,0,-0.6211
"Отличный товар, полностью доволен, однако ожидал большего.",2,Одежда,SUBJ_0023,ГлобалГрупп,1,-0.1769
"Рекомендую, превзошло ожидания, правда средний уровень.",3,Спорт и отдых,SUBJ_0028,ГлобалПлюс,1,0.1937
"Замечательно, всё как в описании, но бывает и лучше.",4,Косметика,SUBJ_0043,МегаМаркетСток,1,-0.0149
"Кошмар, материал долгая доставка.",2,Спорт и отдых,SUBJ_0049,ГлобалМаркет,0,-0.7561
Нормально. Можно взять если нужно.,2,Доставка,SUBJ_0014,ПремиумПлюс,1,-0.3119
"Рекомендую, работает идеально, правда можно взять если нужно.",4,Книги,SUBJ_0020,ГлобалПро,1,-0.3575
Можно взять если нужно. Ничего особенного.,2,Отель,SUBJ_0039,СуперСервисХаб,1,0.0327
"Топ, радует каждый день, однако есть и плюсы и минусы.",5,Бытовая техника,SUBJ_0019,ГлобалГрупп,2,0.141
Обычный товар. Бывает и лучше.,3,Продукты питания,SUBJ_0022,СуперСервисТрейд,1,0.0026
"Хороший выбор, приятно удивлён. С другой стороны, не идеально но сойдёт.",5,Доставка,SUBJ_0011,ГлобалТрейд,2,0.6155
Деньги на ветер! весьма быстро износилось.,1,Книги,SUBJ_0040,МегаМаркетХаб,0,-0.6501
Материал быстро износилось. Не рекомендую.,2,Одежда,SUBJ_0029,МаксимумГрупп,0,-0.5963
"Обычный товар, упаковка за такие деньги норм.",4,Доставка,SUBJ_0047,СуперСервисСток,1,0.1655
"Замечательно, нет нареканий, но не хуже других.",5,Одежда,SUBJ_0021,ПремиумЦентр,2,0.1905
Немного качество на высоте. Качественный продукт!,3,Одежда,SUBJ_0023,ГлобалГрупп,2,0.012
"Супер, работает идеально, хотя бывает и лучше.",4,Косметика,SUBJ_0043,МегаМаркетСток,2,0.6471
Обычное качество. Средне.,4,Ресторан,SUBJ_0041,СтандартЦентр,1,-0.1557
Неплохо но. Ничего выдающегося.,2,Косметика,SUBJ_0008,ОптимаШоп,1,-0.1233
Прекрасная покупка! крайне стоит своих денег.,5,Отель,SUBJ_0013,ЭкспрессТрейд,2,0.7124
"Качественный продукт, скорость всё как в описании.",5,Электроника,SUBJ_0047,СуперСервисСток,2,0.3268
"Хороший выбор, но обман покупателей.",3,Спорт и отдых,SUBJ_0049,ГлобалМаркет,1,0.0768
"Всё отлично, быстрая доставка. Однако не впечатлило.",5,Доставка,SUBJ_0018,ГлобалПро,2,0.6574
Переплёт качество на высоте. Рекомендую.,3,Книги,SUBJ_0029,МаксимумГрупп,1,-0.14
Не хуже других. Так себе.,3,Ресторан,SUBJ_0006,ТехноМирСток,1,0.1526
Плохой товар! весьма долгая доставка.,1,Спорт и отдых,SUBJ_0014,ПремиумПлюс,0,-0.4707
Могло быть лучше. Без восторга.,3,Спорт и отдых,SUBJ_0006,ТехноМирСток,1,-0.1479
Средний уровень. Обычный товар.,3,Отель,SUBJ_0039,СуперСервисХаб,1,-0.0505
Полное разочарование! немного потерянная посылка.,3,Спорт и отдых,SUBJ_0049,ГлобалМаркет,0,-0.2253
"Великолепно, качество на высоте. Однако бывает и лучше.",4,Продукты питания,SUBJ_0038,ТехноМирПро,2,0.7034
Средний уровень. Неплохо но.,3,Электроника,SUBJ_0042,ПремиумСток,2,0.5053
Без восторга. Ничего особенного.,4,Косметика,SUBJ_0024,СтандартМаркет,1,-0.0776
Вкус радует каждый день. Очень доволен.,4,Продукты питания,SUBJ_0047,СуперСервисСток,2,0.4675
"Ничего особенного, качество пошива за такие деньги норм.",3,Одежда,SUBJ_0011,ГлобалТрейд,1,0.1488
"Рекомендую, буду заказывать ещё. Но за такие деньги норм.",3,Отель,SUBJ_0034,ЛюксГрупп,2,1.0
"Брак, не соответствует описанию, правда не хуже других.",2,Одежда,SUBJ_0023,ГлобалГрупп,0,-0.8035
Крайне стоит своих денег. Топ!,4,Книги,SUBJ_0017,СтандартТрейд,2,0.6979
"Понравилось, быстрая доставка, хотя ничего выдающегося.",5,Электроника,SUBJ_0018,ГлобалПро,2,0.6571
Средний уровень. Приемлемо.,4,Косметика,SUBJ_0039,СуперСервисХаб,1,-0.2243
"Соответствует цене, скорость ничего выдающегося.",3,Доставка,SUBJ_0009,ТехноМирМаркет,1,-0.1693
Ожидал большего. Есть недостатки.,4,Продукты питания,SUBJ_0038,ТехноМирПро,2,0.4632
Можно взять если нужно. Неплохо но.,4,Отель,SUBJ_0017,СтандартТрейд,1,-0.0803
"Замечательно, работает идеально. С другой стороны, ожидал большего.",5,Доставка,SUBJ_0045,МаксимумМаркет,2,0.3591
Разочарован. Однако нет нареканий.,3,Спорт и отдых,SUBJ_0028,ГлобалПлюс,1,0.0609
"Обычный товар, обслуживание не впечатлило.",4,Ресторан,SUBJ_0011,ГлобалТрейд,2,0.3733
Содержание быстрая доставка. Понравилось.,5,Книги,SUBJ_0035,МаксимумШоп,2,0.558
"Худшая покупка, не стоит таких денег. С другой стороны, средний уровень.",2,Бытовая техника,SUBJ_0004,ТехноМирПро,0,-0.8519
Есть и плюсы и минусы. Нормально.,2,Книги,SUBJ_0040,МегаМаркетХаб,1,-0.0534
"Прекрасная покупка, надёжность стоит своих денег.",5,Бытовая техника,SUBJ_0020,ГлобалПро,2,0.8688
"Качественный продукт, приятно удивлён, хотя ожидал большего.",4,Косметика,SUBJ_0008,ОптимаШоп,1,-0.04
"Не рекомендую, сломалось через неделю, но не идеально но сойдёт.",2,Отель,SUBJ_0021,ПремиумЦентр,1,-0.2506
"Так себе, вкус не идеально но сойдёт.",4,Продукты питания,SUBJ_0036,ЭкспрессЛайн,1,-0.0722
"Могло быть лучше, текстура можно взять если нужно.",3,Косметика,SUBJ_0043,МегаМаркетСток,1,-0.2068
"Великолепно, полностью доволен, при этом ничего выдающегося.",4,Книги,SUBJ_0009,ТехноМирМаркет,2,0.8832
"На троечку, шум бывает и лучше.",4,Бытовая техника,SUBJ_0007,ЛюксХаб,1,0.1004
"Неплохо но, расположение не хуже других.",3,Отель,SUBJ_0010,ЭкспрессГрупп,1,-0.1003
Цены деньги не вернули. Ужасное качество.,2,Ресторан,SUBJ_0005,ГлобалСток,0,-0.4969
Обычное качество. Обычный товар.,3,Косметика,SUBJ_0043,МегаМаркетСток,1,-0.1933
"Топ, стоит своих денег, при этом есть и плюсы и минусы.",5,Одежда,SUBJ_0002,МегаМаркетСток,2,0.6245
Ничего выдающегося. Приемлемо.,4,Отель,SUBJ_0039,СуперСервисХаб,1,0.2398
"Отличный товар, полностью доволен, но без восторга.",4,Одежда,SUBJ_0012,МегаМаркетХаб,2,0.3082
Слегка стоит своих денег. Понравилось!,5,Продукты питания,SUBJ_0038,ТехноМирПро,2,0.5458
"Супер, радует каждый день, при этом есть и плюсы и минусы.",5,Косметика,SUBJ_0031,ГлобалЦентр,2,0.2979
"Всё отлично, дизайн приятно удивлён.",5,Электроника,SUBJ_0046,ТехноМирГрупп,2,0.3502
Полное разочарование! очень обман покупателей.,1,Продукты питания,SUBJ_0010,ЭкспрессГрупп,0,-0.6314
Без восторга. Могло быть лучше.,2,Ресторан,SUBJ_0026,МаксимумГрупп,1,0.0376
"Худшая покупка, при этом отличный сервис.",3,Отель,SUBJ_0013,ЭкспрессТрейд,1,0.469
"Топ, упаковка стоит своих денег.",5,Косметика,SUBJ_0049,ГлобалМаркет,2,0.3558
"Брак, потерянная посылка. С другой стороны, ничего выдающегося.",2,Спорт и отдых,SUBJ_0049,ГлобалМаркет,0,-0.377
"Брак, не соответствует описанию, правда обычное качество.",1,Электроника,SUBJ_0018,ГлобалПро,0,-0.0421
Весьма нет нареканий. Топ!,5,Спорт и отдых,SUBJ_0028,ГлобалПлюс,2,0.3827
"Жалею что купил, пришло поврежденное. Но за такие деньги норм.",1,Одежда,SUBJ_0037,ЛюксЦентр,0,-0.1615
"Лучшее что покупал, дизайн радует каждый день.",3,Электроника,SUBJ_0043,МегаМаркетСток,1,0.3095
"Не советую, обман покупателей. Но без восторга.",1,Электроника,SUBJ_0018,ГлобалПро,0,-0.6498
"Понравилось, стоит своих денег, хотя за такие деньги норм.",2,Электроника,SUBJ_0011,ГлобалТрейд,1,0.0117
Могло быть лучше. Обычное качество.,1,Спорт и отдых,SUBJ_0021,ПремиумЦентр,0,-0.3443
"Кошмар, хамское обслуживание, но обычное качество.",1,Ресторан,SUBJ_0046,ТехноМирГрупп,0,-0.5356
Крайне потерянная посылка. Разочарован!,1,Книги,SUBJ_0040,МегаМаркетХаб,0,-0.3714
Слегка стоит своих денег. Отличный товар!,3,Ресторан,SUBJ_0024,СтандартМаркет,2,0.2188
Обычное качество. Пойдёт.,4,Бытовая техника,SUBJ_0007,ЛюксХаб,1,0.3194
Крайне обман покупателей. Худшая покупка!,2,Электроника,SUBJ_0018,ГлобалПро,0,-0.6871
"Топ, быстрая доставка, однако средний уровень.",5,Бытовая техника,SUBJ_0030,ГлобалШоп,2,0.5289
"Очень доволен, буду заказывать ещё, хотя средний уровень.",5,Ресторан,SUBJ_0003,СтандартХаб,2,0.5169
"Очень доволен, отличный сервис. С другой стороны, можно взять если нужно.",4,Книги,SUBJ_0031,ГлобалЦентр,2,0.9388
"Полное разочарование, не работает. Но за такие деньги норм.",2,Книги,SUBJ_0019,ГлобалГрупп,0,-0.2571
Качество пошива радует каждый день. Очень доволен.,5,Одежда,SUBJ_0003,СтандартХаб,2,0.8422
 полностью доволен. Топ!,5,Книги,SUBJ_0028,ГлобалПлюс,2,0.6715
"Рекомендую, быстрая доставка, но не идеально но сойдёт.",4,Доставка,SUBJ_0025,ГлобалМаркет,2,0.0603
Курьер сломалось через неделю. Не рекомендую.,3,Доставка,SUBJ_0014,ПремиумПлюс,0,-1.0
Жалею что купил! слегка обман покупателей.,1,Продукты питания,SUBJ_0001,ГлобалЛайн,0,-0.3206
"Очень доволен, отличный сервис, но обычное качество.",3,Спорт и отдых,SUBJ_0028,ГлобалПлюс,1,0.0185
Упаковка превзошло ожидания. Топ.,3,Продукты питания,SUBJ_0036,ЭкспрессЛайн,2,0.155
"Брак, не стоит таких денег, но не идеально но сойдёт.",2,Продукты питания,SUBJ_0037,ЛюксЦентр,0,-0.5139
"Ничего особенного, цены не впечатлило.",2,Ресторан,SUBJ_0026,МаксимумГрупп,1,-0.0082
"Плохой товар, цены деньги не вернули.",1,Ресторан,SUBJ_0029,МаксимумГрупп,0,-0.5223
"Ужасное качество, деньги не вернули. Но можно взять если нужно.",3,Одежда,SUBJ_0028,ГлобалПлюс,0,-0.3326
Приемлемо. Обычное качество.,2,Отель,SUBJ_0012,МегаМаркетХаб,1,-0.235
Крайне превзошло ожидания. Великолепно!,3,Одежда,SUBJ_0047,СуперСервисСток,1,-0.2648
Расположение работает идеально. Лучшее что покупал.,4,Отель,SUBJ_0034,ЛюксГрупп,2,0.7388
Пойдёт. Ожидал большего.,4,Отель,SUBJ_0013,ЭкспрессТрейд,1,0.126
Слегка потерянная посылка. Плохой товар!,2,Косметика,SUBJ_0037,ЛюксЦентр,0,-0.6982
Приемлемо. Ожидал большего.,3,Ресторан,SUBJ_0046,ТехноМирГрупп,1,-0.2588
Хороший выбор!  качество на высоте.,5,Электроника,SUBJ_0034,ЛюксГрупп,2,0.2005
Упаковка приятно удивлён. Отличный товар.,3,Доставка,SUBJ_0014,ПремиумПлюс,2,0.5088
Номер качество на высоте. Рекомендую.,5,Отель,SUBJ_0034,ЛюксГрупп,2,0.5535
Обслуживание деньги не вернули. Брак.,3,Ресторан,SUBJ_0006,ТехноМирСток,0,-0.5552
Не идеально но сойдёт. Средне.,2,Одежда,SUBJ_0029,МаксимумГрупп,1,0.1894
Цены потерянная посылка. Не рекомендую.,1,Ресторан,SUBJ_0024,СтандартМаркет,0,-0.644
"Есть недостатки, батарея не хуже других.",2,Электроника,SUBJ_0006,ТехноМирСток,0,-1.0
Не впечатлило. Нормально.,4,Отель,SUBJ_0017,СтандартТрейд,1,0.3417
"Хороший выбор, отличный сервис, правда ничего выдающегося.",5,Косметика,SUBJ_0025,ГлобалМаркет,2,0.4377
Ничего выдающегося. Средне.,4,Ресторан,SUBJ_0044,ЭкспрессПро,1,0.0778
"Лучшее что покупал, превзошло ожидания. С другой стороны, ничего выдающегося.",4,Спорт и отдых,SUBJ_0025,ГлобалМаркет,2,0.7799
"Плохой товар, обман покупателей. Однако есть и плюсы и минусы.",2,Одежда,SUBJ_0037,ЛюксЦентр,0,-0.7389
Очень потерянная посылка. Деньги на ветер!,1,Книги,SUBJ_0040,МегаМаркетХаб,0,-0.4491
"Не рекомендую, сломалось через неделю, правда есть и плюсы и минусы.",2,Отель,SUBJ_0005,ГлобалСток,0,-0.8556
Пойдёт. Средний уровень.,2,Электроника,SUBJ_0020,ГлобалПро,1,-0.2704
Очень всё как в описании. Очень доволен!,4,Ресторан,SUBJ_0024,СтандартМаркет,2,0.7204
"Полное разочарование, быстро износилось. С другой стороны, не впечатлило.",1,Бытовая техника,SUBJ_0004,ТехноМирПро,0,-0.13
"Лучшее что покупал, буду заказывать ещё, при этом можно взять если нужно.",5,Доставка,SUBJ_0025,ГлобалМаркет,2,0.2847
"Обычный товар, упаковка можно взять если нужно.",3,Косметика,SUBJ_0008,ОптимаШоп,1,0.1347
На троечку. Ничего выдающегося.,2,Бытовая техника,SUBJ_0031,ГлобалЦентр,1,-0.0476
Немного быстрая доставка. Замечательно!,3,Отель,SUBJ_0034,ЛюксГрупп,2,0.1543
Очень доволен. Но обман покупателей.,3,Ресторан,SUBJ_0026,МаксимумГрупп,1,0.4774
"Не советую, сломалось через неделю, правда ничего выдающегося.",3,Доставка,SUBJ_0028,ГлобалПлюс,1,0.1407
"Разочарован, не стоит таких денег, при этом бывает и лучше.",2,Отель,SUBJ_0005,ГлобалСток,0,-0.6218
"Не советую, дизайн обман покупателей.",1,Спорт и отдых,SUBJ_0025,ГлобалМаркет,0,-0.716
Деньги на ветер! очень долгая доставка.,3,Спорт и отдых,SUBJ_0049,ГлобалМаркет,0,-0.7077
"Могло быть лучше, печать ничего выдающегося.",3,Книги,SUBJ_0009,ТехноМирМаркет,1,-0.0126
Ничего выдающегося. Нормально.,4,Спорт и отдых,SUBJ_0028,ГлобалПлюс,1,-0.2269
"Худшая покупка, при этом превзошло ожидания.",3,Одежда,SUBJ_0047,СуперСервисСток,1,0.1888
Качество пошива приятно удивлён. Лучшее что покупал.,5,Одежда,SUBJ_0011,ГлобалТрейд,2,0.2556
"Замечательно, хотя потерянная посылка.",3,Отель,SUBJ_0013,ЭкспрессТрейд,1,0.1878
"Полное разочарование, не работает, правда ничего выдающегося.",1,Книги,SUBJ_0031,ГлобалЦентр,0,-0.3642
"Супер, работает идеально, хотя не впечатлило.",5,Косметика,SUBJ_0043,МегаМаркетСток,2,0.6426
"Худшая покупка, упаковка не стоит таких денег.",1,Косметика,SUBJ_0032,ОптимаМаркет,0,-0.9512
"Ужасное качество, потерянная посылка, при этом ожидал большего.",2,Косметика,SUBJ_0008,ОптимаШоп,0,-0.488
Могло быть лучше. Ожидал большего.,4,Ресторан,SUBJ_0041,СтандартЦентр,1,-0.2261
Бывает и лучше. Могло быть лучше.,3,Доставка,SUBJ_0014,ПремиумПлюс,1,-0.4154
Запах сломалось через неделю. Не советую.,3,Косметика,SUBJ_0032,ОптимаМаркет,0,-0.8028
Не рекомендую! весьма потерянная посылка.,1,Бытовая техника,SUBJ_0006,ТехноМирСток,0,-0.4882
Обычный товар. Бывает и лучше.,4,Одежда,SUBJ_0047,СуперСервисСток,1,-0.0961
Весьма стоит своих денег. Понравилось!,5,Электроника,SUBJ_0003,СтандартХаб,2,0.3558
"Жалею что купил, размер не соответствует описанию.",3,Одежда,SUBJ_0032,ОптимаМаркет,1,-0.2824
"Соответствует цене, переплёт можно взять если нужно.",3,Книги,SUBJ_0015,ЛюксПро,1,0.3604
"Худшая покупка, потерянная посылка, при этом ничего выдающегося.",2,Спорт и отдых,SUBJ_0049,ГлобалМаркет,0,-0.6992
